manga_id,title,type,score,status,genres_Action,genres_Comedy,genres_Drama,genres_Fantasy,genres_Romance,themes_School,demographics_Seinen,demographics_Shoujo,demographics_Shounen,score,log_scored_by,log_members,log_favorites,Content_Others
28,Nana,manga,8.79,on_hiatus,0,0,1,0,1,0,0,1,0,0.7246963562753028,0.7245244179034088,0.7522418429166267,0.7947805812813099,1
114745,Blue Lock,manga,8.55,currently_publishing,0,0,0,0,0,0,0,0,1,0.6275303643724697,0.7834681953533748,0.776300836857873,0.8012996217344739,1
3031,Pandora Hearts,manga,8.57,finished,0,0,0,1,0,0,0,0,1,0.6356275303643724,0.7696610081040175,0.7921418274924314,0.8295443521794788,1
88660,Yagate Kimi ni Naru,manga,8.67,finished,0,0,1,0,0,1,0,0,0,0.6761133603238862,0.7343265572537233,0.7089572133408775,0.7817748435077012,1
102,Fruits Basket,manga,8.52,finished,0,0,1,0,1,1,0,1,0,0.615384615384615,0.7927441194608554,0.7632556776634514,0.8190404009322052,1
3006,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,manga,8.57,finished,1,0,0,0,0,0,0,0,1,0.6356275303643724,0.7685410776084959,0.7095380300432452,0.7497588521246581,1
664,Akira,manga,8.68,finished,1,0,0,0,0,0,1,0,0,0.6801619433198378,0.726232013415329,0.7470664705248544,0.7486166379365454,1
60783,Mob Psycho 100,manga,8.61,finished,1,1,0,0,0,0,0,0,0,0.6518218623481777,0.7337057232645502,0.7280635728392704,0.7371541518977286,1
42451,Horimiya,manga,8.43,finished,0,0,0,0,1,1,0,0,1,0.5789473684210522,0.8786101777282888,0.8944492448745127,0.865646915781762,0
698,Neon Genesis Evangelion,manga,8.58,finished,1,0,1,0,0,0,1,0,1,0.6396761133603235,0.7418592102666425,0.722957287815865,0.7621975058686477,1
111213,Bastard,manhwa,8.49,finished,0,0,1,0,1,0,0,0,0,0.6032388663967612,0.7837057773998474,0.74909298895881,0.7507805596580166,1
745,Pluto,manga,8.62,finished,1,0,0,0,0,0,1,0,0,0.6558704453441289,0.7231654982487484,0.7281917402217979,0.7285533996681779,1
11734,Watashitachi no Shiawase na Jikan,manga,8.53,finished,0,0,1,0,1,0,1,0,0,0.6194331983805661,0.7574192492966231,0.7307165906644659,0.7261598687088797,1
22,Rurouni Kenshin: Meiji Kenkaku Romantan,manga,8.56,finished,1,0,1,0,0,0,0,0,1,0.6315789473684208,0.739334953013652,0.7032501447162827,0.7590589312155006,1
7,Hajime no Ippo,manga,8.71,currently_publishing,0,0,0,0,0,0,0,0,1,0.6923076923076925,0.7033122659790217,0.6786603008151255,0.749558390036565,1
25515,JoJo no Kimyou na Bouken Part 8: JoJolion,manga,8.48,finished,1,0,0,0,0,0,1,0,0,0.5991902834008096,0.7804360840643246,0.7642437717038919,0.7635146331037647,1
125036,The Horizon,manhwa,8.67,finished,0,0,1,0,0,0,0,0,0,0.6761133603238862,0.7080386501047887,0.6719444804096018,0.7116656194693867,1
70261,Mushoku Tensei: Isekai Ittara Honki Dasu,light_novel,8.79,finished,0,0,0,1,0,0,0,0,0,0.7246963562753028,0.6911198447070191,0.6688075456233662,0.753838096073395,1
44,Gintama,manga,8.62,finished,1,1,0,0,0,0,0,0,1,0.6558704453441289,0.717500356981348,0.6991917498342706,0.7712881914363571,1
89357,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,light_novel,8.88,finished,0,0,1,0,0,1,0,0,0,0.7611336032388665,0.685365115614266,0.6773464581217847,0.7670546058776677,1
30,Ouran Koukou Host Club,manga,8.5,finished,0,1,1,0,1,1,0,1,0,0.6072874493927123,0.7681765281603637,0.7454993928638469,0.768460608882681,1
42,Dragon Ball,manga,8.41,finished,1,1,0,0,0,0,0,0,1,0.5708502024291495,0.8237811117973407,0.7764160800362356,0.8163990021474707,1
107931,Blue Period,manga,8.65,currently_publishing,0,0,1,0,0,1,1,0,0,0.6680161943319836,0.7018574216720369,0.7342582582109205,0.7684391521827466,1
610,Skip Beat!,manga,8.57,currently_publishing,0,1,1,0,1,0,0,1,0,0.6356275303643724,0.7172389101505209,0.6949393870590841,0.7801248563021623,1
7519,Kami nomi zo Shiru Sekai,manga,8.47,finished,0,1,0,1,1,1,0,0,1,0.5951417004048585,0.7620461493292113,0.7235008367433657,0.7804797826779577,1
105084,Jibaku Shounen Hanako-kun,manga,8.58,currently_publishing,0,0,0,0,0,1,0,0,1,0.6396761133603235,0.713261266900228,0.7210338445556754,0.7931645974161261,1
8967,Onanie Master Kurosawa,manga,8.41,finished,0,0,1,0,0,1,0,0,0,0.5708502024291495,0.7910457758474106,0.752697696274687,0.7884312849436862,1
7375,Kokou no Hito,manga,8.72,finished,0,0,1,0,0,0,1,0,0,0.6963562753036436,0.6738768989374652,0.6960199203251414,0.7276593350541193,1
9711,Bakuman.,manga,8.39,finished,0,1,1,0,1,0,0,0,1,0.5627530364372468,0.807147381242095,0.7934677415511242,0.7962271507688339,1
2921,Kaichou wa Maid-sama!,manga,8.39,finished,0,1,0,0,1,1,0,1,0,0.5627530364372468,0.8054476414790072,0.783580576740404,0.7814805535407219,0
8586,The Breaker,manhwa,8.4,finished,1,1,1,0,0,1,0,0,0,0.5668016194331984,0.7865461165373567,0.762905622029497,0.7468811017636493,1
145,Beck,manga,8.69,finished,0,0,1,0,1,0,0,0,1,0.6842105263157889,0.6725317952831663,0.6668177717610559,0.7241668184871791,1
122663,Tower of God,manhwa,8.39,currently_publishing,1,0,1,1,0,0,0,0,0,0.5627530364372468,0.7986576898311756,0.8004215506188643,0.8037557465786139,1
3866,Kuroshitsuji,manga,8.41,currently_publishing,1,0,0,1,0,0,0,0,1,0.5708502024291495,0.7752206942071141,0.7789580236592852,0.8285511974228802,1
37707,Shigatsu wa Kimi no Uso,manga,8.59,finished,0,0,1,0,1,1,0,0,1,0.643724696356275,0.6977117289077345,0.6723406535827241,0.6728640852883093,1
24692,Noragami,manga,8.4,currently_publishing,1,0,0,1,0,0,0,0,1,0.5668016194331984,0.770104883775513,0.7987841076590891,0.8026192849663535,1
8157,Kamisama Hajimemashita,manga,8.54,finished,0,1,0,1,1,0,0,1,0,0.6234817813765177,0.7038907736274888,0.68876598364715,0.7344993110100583,1
72467,Shoujo Shuumatsu Ryokou,manga,8.7,finished,0,0,0,0,0,0,0,0,0,0.6882591093117405,0.6590764212079557,0.6372682874281514,0.735891990762267,1
743,21st Century Boys,manga,8.44,finished,0,0,1,0,0,0,1,0,0,0.5829959514170038,0.731591604379355,0.6845269232385254,0.5737902860878494,1
87609,Tensei shitara Slime Datta Ken,manga,8.39,currently_publishing,0,0,0,1,0,0,0,0,1,0.5627530364372468,0.7509477041567499,0.7437501392174741,0.7427663830264652,1
138673,Look Back,manga,8.38,finished,0,0,1,0,0,0,0,0,1,0.5587044534412957,0.7551108527212017,0.6770191540188093,0.6612545700312102,0
43,Eyeshield 21,manga,8.47,finished,0,0,0,0,0,0,0,0,1,0.5951417004048585,0.7049140374087391,0.6656327888694156,0.7164273524037207,1
85968,Golden Kamuy,manga,8.64,finished,1,0,0,0,0,0,1,0,0,0.6639676113360324,0.6528619270845776,0.6882710331209474,0.727382347533909,1
126287,Sousou no Frieren,manga,8.61,currently_publishing,0,0,1,1,0,0,0,0,1,0.6518218623481777,0.6560479787728549,0.688938394013114,0.7083082915660543,1
401,Kiseijuu,manga,8.38,finished,1,0,0,0,0,0,1,0,0,0.5587044534412957,0.7402283298299043,0.7101698813417743,0.7156154415764915,1
22651,The Breaker: New Waves,manhwa,8.37,finished,1,1,1,0,1,1,0,0,0,0.5546558704453437,0.7494156164424673,0.6971678582476026,0.7154760491729565,1
74697,Re:Zero kara Hajimeru Isekai Seikatsu,light_novel,8.79,currently_publishing,0,0,1,1,0,0,0,0,0,0.7246963562753028,0.6339293770178319,0.6468033222957117,0.730196603380309,1
657,Real,manga,8.93,currently_publishing,0,0,1,0,0,0,1,0,0,0.781376518218623,0.6251438883397288,0.6778351547305781,0.6980517772254546,1
583,Claymore,manga,8.3,finished,1,0,0,1,0,0,0,0,1,0.5263157894736841,0.8090892405733247,0.8110032030911756,0.8104979871403849,1
55215,Utsuro no Hako to Zero no Maria,light_novel,8.71,finished,1,0,1,0,1,1,0,0,0,0.6923076923076925,0.6361176349203445,0.7128441161043924,0.7333265607831266,1
